Point No.		Angle
1		76.262639 38.370619 55.003494
2		76.016154 38.307075 55.191547
3		75.764345 38.255974 55.371802
4		75.512043 38.207499 55.552071
5		75.262708 38.154414 55.738091
6		75.010645 38.112124 55.916770
7		74.756851 38.077485 56.090883
8		74.493612 38.066074 56.248372
9		74.214330 38.102740 56.366945
10		73.930989 38.173943 56.454137
11		73.646515 38.277880 56.510046
12		73.363139 38.410709 56.537254
13		73.082807 38.565617 56.541626
14		72.805520 38.735512 56.530501
15		72.532169 38.922987 56.500427
16		72.263197 39.123833 56.455435
17		71.996984 39.331048 56.403858
18		71.737799 39.548604 56.338630
19		71.487190 39.777242 56.257773
20		71.247205 40.017542 56.159136
21		71.024191 40.271561 56.036107
22		70.813080 40.536778 55.894494
23		70.619994 40.809978 55.733441
24		70.468566 41.091711 55.536198
25		70.350507 41.369733 55.321068
26		70.267896 41.633909 55.097210
27		70.203046 41.879586 54.881393
28		70.136783 42.084674 54.709800
29		70.065951 42.274349 54.557871
30		69.998474 42.458364 54.409914
31		69.937269 42.637243 54.263371
32		69.884538 42.811872 54.115784
33		69.837068 42.987043 53.964294
34		69.790680 43.168209 53.806032
35		69.736603 43.364881 53.637051
36		69.671753 43.579051 53.457446
37		69.604256 43.802798 53.270039
38		69.551122 44.020169 53.079885
39		69.507076 44.236967 52.884516
40		69.464723 44.452861 52.689313
41		69.421327 44.672678 52.491142
42		69.373791 44.899610 52.288838
43		69.314957 45.145323 52.075288
44		69.246318 45.405463 51.854082
45		69.177710 45.667120 51.631874
46		69.101307 45.929392 51.414951
47		69.019985 46.187690 51.206069
48		68.936572 46.449557 50.995586
49		68.854558 46.713723 50.782435
50		68.775031 46.980814 50.565249
51		68.702016 47.249547 50.342576
52		68.633473 47.521750 50.113971
53		68.568247 47.797355 49.880324
54		68.506750 48.073043 49.644716
55		68.446775 48.353699 49.403764
56		68.387652 48.633173 49.164138
57		68.328557 48.915187 48.922683
58		68.269801 49.198898 48.680051
59		68.210494 49.482369 48.438808
60		68.151535 49.764113 48.199811
61		68.091606 50.040465 47.967598
62		68.028232 50.306362 47.748866
63		67.961649 50.568967 47.536335
64		67.890301 50.823097 47.336183
65		67.799927 51.072939 47.154279
66		67.681496 51.319791 46.995801
67		67.544800 51.556516 46.861000
68		67.411055 51.782399 46.735609
69		67.278966 52.003339 46.614732
70		67.145638 52.217517 46.502170
71		67.012066 52.423146 46.398915
72		66.877345 52.617437 46.308269
73		66.741872 52.807342 46.223195
74		66.605321 52.993391 46.143410
75		66.468119 53.174365 46.069762
76		66.328361 53.345050 46.008632
77		66.185803 53.501602 45.963853
78		66.042520 53.642065 45.935712
79		65.899919 53.763688 45.925723
80		65.761149 53.864014 45.933785
81		65.624363 53.942138 45.962047
82		65.492134 53.995818 46.010623
83		65.365152 54.021498 46.082291
84		65.239313 54.021660 46.177751
85		65.113868 54.009054 46.285435
86		64.992727 53.985527 46.400592
87		64.883575 53.942084 46.525855
88		64.791772 53.869026 46.666289
89		64.719980 53.765988 46.820156
90		64.678818 53.636298 46.976060
91		64.670038 53.485704 47.127156
92		64.684003 53.319656 47.275753
93		64.700397 53.135338 47.440408
94		64.719339 52.938041 47.616044
95		64.741963 52.730852 47.798881
96		64.763190 52.516941 47.989858
97		64.781294 52.299676 48.187083
98		64.819473 52.075995 48.375578
99		64.871449 51.853230 48.553093
100		64.927132 51.639661 48.719324
101		64.982559 51.434082 48.878455
102		65.039270 51.226886 49.038711
103		65.096558 51.016762 49.201943
104		65.155588 50.803846 49.367135
105		65.214958 50.588657 49.534871
106		65.290889 50.378816 49.685088
107		65.385426 50.180968 49.809593
108		65.486667 49.997092 49.915542
109		65.578247 49.822805 50.019791
110		65.657560 49.649172 50.133188
111		65.724351 49.473609 50.258471
112		65.783229 49.302365 50.385809
113		65.841275 49.116407 50.528962
114		65.898531 48.931254 50.672300
115		65.948328 48.785783 50.781533
116		65.994523 48.702287 50.830968
117		66.050766 48.661192 50.829937
118		66.135568 48.636610 50.790679
119		66.270585 48.611976 50.713879
120		66.456086 48.579411 50.607856
121		66.653303 48.555886 50.484924
122		66.866487 48.535679 50.347948
123		67.093535 48.502098 50.215599
