Final Point - Initial Point		Angle Difference
	2-1			-0.246485,-0.063544,0.188052
	3-2			-0.251809,-0.051101,0.180256
	4-3			-0.252302,-0.048475,0.180268
	5-4			-0.249335,-0.053085,0.186020
	6-5			-0.252063,-0.042289,0.178679
	7-6			-0.253793,-0.034639,0.174112
	8-7			-0.263239,-0.011411,0.157489
	9-8			-0.279283,0.036667,0.118573
	10-9			-0.283340,0.071202,0.087193
	11-10			-0.284474,0.103937,0.055908
	12-11			-0.283376,0.132829,0.027208
	13-12			-0.280332,0.154908,0.004372
	14-13			-0.277287,0.169895,-0.011125
	15-14			-0.273351,0.187475,-0.030074
	16-15			-0.268973,0.200846,-0.044992
	17-16			-0.266213,0.207214,-0.051577
	18-17			-0.259185,0.217556,-0.065228
	19-18			-0.250609,0.228639,-0.080856
	20-19			-0.239985,0.240299,-0.098637
	21-20			-0.223013,0.254020,-0.123029
	22-21			-0.211111,0.265217,-0.141613
	23-22			-0.193086,0.273200,-0.161053
	24-23			-0.151428,0.281733,-0.197244
	25-24			-0.118058,0.278022,-0.215130
	26-25			-0.082612,0.264176,-0.223858
	27-26			-0.064850,0.245677,-0.215817
	28-27			-0.066263,0.205087,-0.171593
	29-28			-0.070832,0.189676,-0.151929
	30-29			-0.067477,0.184015,-0.147957
	31-30			-0.061205,0.178879,-0.146543
	32-31			-0.052731,0.174629,-0.147587
	33-32			-0.047470,0.175171,-0.151490
	34-33			-0.046387,0.181166,-0.158261
	35-34			-0.054077,0.196672,-0.168982
	36-35			-0.064850,0.214171,-0.179605
	37-36			-0.067497,0.223746,-0.187407
	38-37			-0.053134,0.217372,-0.190154
	39-38			-0.044046,0.216798,-0.195369
	40-39			-0.042352,0.215894,-0.195203
	41-40			-0.043396,0.219817,-0.198171
	42-41			-0.047536,0.226932,-0.202305
	43-42			-0.058834,0.245713,-0.213549
	44-43			-0.068639,0.260140,-0.221206
	45-44			-0.068608,0.261657,-0.222208
	46-45			-0.076403,0.262272,-0.216923
	47-46			-0.081322,0.258298,-0.208882
	48-47			-0.083413,0.261867,-0.210482
	49-48			-0.082013,0.264166,-0.213151
	50-49			-0.079527,0.267092,-0.217187
	51-50			-0.073015,0.268732,-0.222673
	52-51			-0.068543,0.272204,-0.228605
	53-52			-0.065226,0.275605,-0.233647
	54-53			-0.061498,0.275688,-0.235608
	55-54			-0.059974,0.280656,-0.240952
	56-55			-0.059124,0.279474,-0.239625
	57-56			-0.059094,0.282015,-0.241456
	58-57			-0.058756,0.283711,-0.242631
	59-58			-0.059307,0.283471,-0.241243
	60-59			-0.058959,0.281744,-0.238998
	61-60			-0.059929,0.276352,-0.232212
	62-61			-0.063374,0.265897,-0.218732
	63-62			-0.066583,0.262606,-0.212531
	64-63			-0.071348,0.254130,-0.200151
	65-64			-0.090374,0.249842,-0.181904
	66-65			-0.118431,0.246852,-0.158478
	67-66			-0.136696,0.236725,-0.134802
	68-67			-0.133745,0.225883,-0.125391
	69-68			-0.132089,0.220940,-0.120877
	70-69			-0.133328,0.214178,-0.112562
	71-70			-0.133573,0.205629,-0.103255
	72-71			-0.134721,0.194292,-0.090646
	73-72			-0.135472,0.189905,-0.085074
	74-73			-0.136552,0.186049,-0.079785
	75-74			-0.137202,0.180974,-0.073648
	76-75			-0.139758,0.170685,-0.061130
	77-76			-0.142558,0.156552,-0.044779
	78-77			-0.143283,0.140463,-0.028141
	79-78			-0.142601,0.121622,-0.009989
	80-79			-0.138769,0.100326,0.008062
	81-80			-0.136786,0.078124,0.028261
	82-81			-0.132229,0.053680,0.048576
	83-82			-0.126983,0.025681,0.071669
	84-83			-0.125838,0.000161,0.095460
	85-84			-0.125445,-0.012606,0.107684
	86-85			-0.121142,-0.023527,0.115157
	87-86			-0.109151,-0.043443,0.125263
	88-87			-0.091804,-0.073059,0.140434
	89-88			-0.071792,-0.103037,0.153867
	90-89			-0.041161,-0.129691,0.155904
	91-90			-0.008780,-0.150593,0.151096
	92-91			0.013965,-0.166048,0.148597
	93-92			0.016394,-0.184318,0.164655
	94-93			0.018942,-0.197297,0.175635
	95-94			0.022624,-0.207188,0.182838
	96-95			0.021227,-0.213911,0.190976
	97-96			0.018104,-0.217265,0.197225
	98-97			0.038179,-0.223681,0.188495
	99-98			0.051976,-0.222765,0.177515
	100-99			0.055683,-0.213570,0.166231
	101-100			0.055427,-0.205579,0.159131
	102-101			0.056711,-0.207196,0.160256
	103-102			0.057287,-0.210124,0.163232
	104-103			0.059030,-0.212916,0.165192
	105-104			0.059370,-0.215189,0.167737
	106-105			0.075930,-0.209841,0.150216
	107-106			0.094537,-0.197849,0.124506
	108-107			0.101241,-0.183875,0.105948
	109-108			0.091579,-0.174287,0.104249
	110-109			0.079313,-0.173633,0.113397
	111-110			0.066791,-0.175564,0.125283
	112-111			0.058878,-0.171244,0.127338
	113-112			0.058046,-0.185958,0.143153
	114-113			0.057256,-0.185154,0.143337
	115-114			0.049797,-0.145471,0.109233
	116-115			0.046194,-0.083495,0.049435
	117-116			0.056243,-0.041096,-0.001031
	118-117			0.084802,-0.024581,-0.039258
	119-118			0.135017,-0.024634,-0.076800
	120-119			0.185501,-0.032565,-0.106023
	121-120			0.197217,-0.023525,-0.122932
	122-121			0.213184,-0.020206,-0.136976
	123-122			0.227049,-0.033582,-0.132349
